"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.47626748782E+001, +0.00000000000E+000
+3.00973681049E+005, +1.45764805601E+001, +0.00000000000E+000
+3.01947362099E+005, +1.51986159764E+001, +0.00000000000E+000
+3.02921043148E+005, +1.50809890376E+001, +0.00000000000E+000
+3.03894724198E+005, +1.49909121072E+001, +0.00000000000E+000
+3.04868405247E+005, +1.44758297044E+001, +0.00000000000E+000
+3.05842086296E+005, +1.51947876457E+001, +0.00000000000E+000
+3.06815767346E+005, +1.48524439962E+001, +0.00000000000E+000
+3.07789448395E+005, +1.43137715522E+001, +0.00000000000E+000
+3.08763129445E+005, +1.44182112685E+001, +0.00000000000E+000
+3.09736810494E+005, +1.49132787091E+001, +0.00000000000E+000
+3.10710491544E+005, +1.45935380484E+001, +0.00000000000E+000
+3.11684172593E+005, +1.45200305879E+001, +0.00000000000E+000
+3.12657853642E+005, +1.48562873808E+001, +0.00000000000E+000
+3.13631534692E+005, +1.47936216412E+001, +0.00000000000E+000
+3.14605215741E+005, +1.44458701556E+001, +0.00000000000E+000
+3.15578896791E+005, +1.37237615364E+001, +0.00000000000E+000
+3.16552577840E+005, +1.54649009637E+001, +0.00000000000E+000
+3.17526258889E+005, +1.50185944192E+001, +0.00000000000E+000
+3.18499939939E+005, +1.45682634714E+001, +0.00000000000E+000
+3.19473620988E+005, +1.42352843497E+001, +0.00000000000E+000
+3.20447302038E+005, +1.46079506344E+001, +0.00000000000E+000
+3.21420983087E+005, +1.49823625919E+001, +0.00000000000E+000
+3.22394664136E+005, +1.47860623333E+001, +0.00000000000E+000
+3.23368345186E+005, +1.48357420497E+001, +0.00000000000E+000
+3.24342026235E+005, +1.47937966430E+001, +0.00000000000E+000
+3.25315707285E+005, +1.44699776579E+001, +0.00000000000E+000
+3.26289388334E+005, +1.46763194096E+001, +0.00000000000E+000
+3.27263069384E+005, +1.47467077805E+001, +0.00000000000E+000
+3.28236750433E+005, +1.46828445006E+001, +0.00000000000E+000
+3.29210431482E+005, +1.49659694226E+001, +0.00000000000E+000
+3.30184112532E+005, +1.45907319408E+001, +0.00000000000E+000
+3.31157793581E+005, +1.41649529171E+001, +0.00000000000E+000
+3.32131474631E+005, +1.44263821904E+001, +0.00000000000E+000
+3.33105155680E+005, +1.53209586827E+001, +0.00000000000E+000
+3.34078836729E+005, +1.40507657236E+001, +0.00000000000E+000
+3.35052517779E+005, +1.50027290335E+001, +0.00000000000E+000
+3.36026198828E+005, +1.48099255215E+001, +0.00000000000E+000
+3.36999879878E+005, +1.58240238815E+001, +0.00000000000E+000
+3.37973560927E+005, +1.45353017720E+001, +0.00000000000E+000
+3.38947241976E+005, +1.41260976091E+001, +0.00000000000E+000
+3.39920923026E+005, +1.44952443295E+001, +0.00000000000E+000
+3.40894604075E+005, +1.52673609152E+001, +0.00000000000E+000
+3.41868285125E+005, +1.45313074094E+001, +0.00000000000E+000
+3.42841966174E+005, +1.47958495244E+001, +0.00000000000E+000
+3.43815647223E+005, +1.50789612160E+001, +0.00000000000E+000
+3.44789328273E+005, +1.43059589710E+001, +0.00000000000E+000
+3.45763009322E+005, +1.51791955276E+001, +0.00000000000E+000
+3.46736690372E+005, +1.54740086471E+001, +0.00000000000E+000
+3.47710371421E+005, +1.52461543906E+001, +0.00000000000E+000
+3.48684052471E+005, +1.44334332145E+001, +0.00000000000E+000
+3.49657733520E+005, +1.49878945779E+001, +0.00000000000E+000
+3.50631414569E+005, +1.48352934672E+001, +0.00000000000E+000
+3.51605095619E+005, +1.46814286715E+001, +0.00000000000E+000
+3.52578776668E+005, +1.44011020510E+001, +0.00000000000E+000
+3.53552457718E+005, +1.44769368139E+001, +0.00000000000E+000
+3.54526138767E+005, +1.51930441917E+001, +0.00000000000E+000
+3.55499819816E+005, +1.48128272962E+001, +0.00000000000E+000
+3.56473500866E+005, +1.44504465123E+001, +0.00000000000E+000
+3.57447181915E+005, +1.47628945607E+001, +0.00000000000E+000
+3.58420862965E+005, +1.51023919195E+001, +0.00000000000E+000
+3.59394544014E+005, +1.47336259199E+001, +0.00000000000E+000
+3.60368225063E+005, +1.41461940956E+001, +0.00000000000E+000
+3.61341906113E+005, +1.46382745701E+001, +0.00000000000E+000
+3.62315587162E+005, +1.41180669188E+001, +0.00000000000E+000
+3.63289268212E+005, +1.51985466191E+001, +0.00000000000E+000
+3.64262949261E+005, +1.47462649222E+001, +0.00000000000E+000
+3.65236630311E+005, +1.40947104817E+001, +0.00000000000E+000
+3.66210311360E+005, +1.50331439698E+001, +0.00000000000E+000
+3.67183992409E+005, +1.49870797086E+001, +0.00000000000E+000
+3.68157673459E+005, +1.50193419539E+001, +0.00000000000E+000
+3.69131354508E+005, +1.45064907310E+001, +0.00000000000E+000
+3.70105035558E+005, +1.46918015187E+001, +0.00000000000E+000
+3.71078716607E+005, +1.45196112916E+001, +0.00000000000E+000
+3.72052397656E+005, +1.43825315270E+001, +0.00000000000E+000
+3.73026078706E+005, +1.44376179188E+001, +0.00000000000E+000
+3.73999759755E+005, +1.46966183614E+001, +0.00000000000E+000
+3.74973440805E+005, +1.40882276771E+001, +0.00000000000E+000
+3.75947121854E+005, +1.42889001507E+001, +0.00000000000E+000
+3.76920802903E+005, +1.44364175073E+001, +0.00000000000E+000
+3.77894483953E+005, +1.51170570491E+001, +0.00000000000E+000
+3.78868165002E+005, +1.40495359124E+001, +0.00000000000E+000
+3.79841846052E+005, +1.46985100689E+001, +0.00000000000E+000
+3.80815527101E+005, +1.45898418906E+001, +0.00000000000E+000
+3.81789208151E+005, +1.46242712927E+001, +0.00000000000E+000
+3.82762889200E+005, +1.47232528843E+001, +0.00000000000E+000
+3.83736570249E+005, +1.47503671484E+001, +0.00000000000E+000
+3.84710251299E+005, +1.48002414655E+001, +0.00000000000E+000
+3.85683932348E+005, +1.46629296519E+001, +0.00000000000E+000
+3.86657613398E+005, +1.47347425050E+001, +0.00000000000E+000
+3.87631294447E+005, +1.38034040954E+001, +0.00000000000E+000
+3.88604975496E+005, +1.51833608417E+001, +0.00000000000E+000
+3.89578656546E+005, +1.45269216324E+001, +0.00000000000E+000
+3.90552337595E+005, +1.53046324221E+001, +0.00000000000E+000
+3.91526018645E+005, +1.41114230376E+001, +0.00000000000E+000
+3.92499699694E+005, +1.51538097047E+001, +0.00000000000E+000
+3.93473380743E+005, +1.42663739002E+001, +0.00000000000E+000
+3.94447061793E+005, +1.50001925598E+001, +0.00000000000E+000
+3.95420742842E+005, +1.39317487326E+001, +0.00000000000E+000
+3.96394423892E+005, +1.43396738920E+001, +0.00000000000E+000
+3.97368104941E+005, +1.47300668213E+001, +0.00000000000E+000
+3.98341785990E+005, +1.48380273966E+001, +0.00000000000E+000
+3.99315467040E+005, +1.47884012824E+001, +0.00000000000E+000
+4.00289148089E+005, +1.48930316456E+001, +0.00000000000E+000
+4.01262829139E+005, +1.47049115211E+001, +0.00000000000E+000
+4.02236510188E+005, +1.47481069061E+001, +0.00000000000E+000
+4.03210191238E+005, +1.43779248117E+001, +0.00000000000E+000
+4.04183872287E+005, +1.46164395017E+001, +0.00000000000E+000
+4.05157553336E+005, +1.48982792793E+001, +0.00000000000E+000
+4.06131234386E+005, +1.49621770371E+001, +0.00000000000E+000
+4.07104915435E+005, +1.48406562730E+001, +0.00000000000E+000
+4.08078596485E+005, +1.46350924257E+001, +0.00000000000E+000
+4.09052277534E+005, +1.49014814144E+001, +0.00000000000E+000
+4.10025958583E+005, +1.44485690444E+001, +0.00000000000E+000
+4.10999639633E+005, +1.40214549813E+001, +0.00000000000E+000
+4.11973320682E+005, +1.46938349410E+001, +0.00000000000E+000
+4.12947001732E+005, +1.44225403918E+001, +0.00000000000E+000
+4.13920682781E+005, +1.46404641043E+001, +0.00000000000E+000
+4.15061034603E+005, +1.45798457129E+001, +0.00000000000E+000
+4.16406207627E+005, +1.46402383899E+001, +0.00000000000E+000
+4.17751380652E+005, +1.46127058061E+001, +0.00000000000E+000
+4.19096553676E+005, +1.47544540890E+001, +0.00000000000E+000
+4.20441726701E+005, +1.46491377833E+001, +0.00000000000E+000
+4.21786899725E+005, +1.46020727755E+001, +0.00000000000E+000
+4.23132072750E+005, +1.50572137131E+001, +0.00000000000E+000
+4.24477245774E+005, +1.49635517833E+001, +0.00000000000E+000
+4.25822418799E+005, +1.48722915284E+001, +0.00000000000E+000
+4.27167591823E+005, +1.44889495119E+001, +0.00000000000E+000
+4.28512764848E+005, +1.42277830126E+001, +0.00000000000E+000
+4.29857937872E+005, +1.42848519172E+001, +0.00000000000E+000
+4.31203110897E+005, +1.47092898544E+001, +0.00000000000E+000
+4.32548283921E+005, +1.41797243607E+001, +0.00000000000E+000
+4.33893456946E+005, +1.41405479744E+001, +0.00000000000E+000
+4.35238629970E+005, +1.51680121653E+001, +0.00000000000E+000
+4.36583802995E+005, +1.49103841807E+001, +0.00000000000E+000
+4.37928976019E+005, +1.41112032481E+001, +0.00000000000E+000
+4.39274149044E+005, +1.49005009586E+001, +0.00000000000E+000
+4.40619322068E+005, +1.52375947779E+001, +0.00000000000E+000
+4.41964495093E+005, +1.45954965161E+001, +0.00000000000E+000
+4.43309668117E+005, +1.38567631718E+001, +0.00000000000E+000
+4.44654841142E+005, +1.49657232991E+001, +0.00000000000E+000
+4.46000014166E+005, +1.56024597092E+001, +0.00000000000E+000
+4.47345187191E+005, +1.44919117413E+001, +0.00000000000E+000
+4.48690360215E+005, +1.39211812881E+001, +0.00000000000E+000
+4.50035533240E+005, +1.48280981886E+001, +0.00000000000E+000
+4.51380706265E+005, +1.46306657284E+001, +0.00000000000E+000
+4.52725879289E+005, +1.46877508512E+001, +0.00000000000E+000
+4.54071052314E+005, +1.46447809987E+001, +0.00000000000E+000
+4.55416225338E+005, +1.49671075039E+001, +0.00000000000E+000
+4.56761398363E+005, +1.40964047043E+001, +0.00000000000E+000
+4.58106571387E+005, +1.40028833744E+001, +0.00000000000E+000
+4.59451744412E+005, +1.54191646258E+001, +0.00000000000E+000
+4.60796917436E+005, +1.50323017654E+001, +0.00000000000E+000
+4.62142090461E+005, +1.42919919624E+001, +0.00000000000E+000
+4.63487263485E+005, +1.44996159808E+001, +0.00000000000E+000
+4.64832436510E+005, +1.47940000448E+001, +0.00000000000E+000
+4.66177609534E+005, +1.47193843927E+001, +0.00000000000E+000
+4.67522782559E+005, +1.44811954283E+001, +0.00000000000E+000
+4.68867955583E+005, +1.44843237315E+001, +0.00000000000E+000
+4.70213128608E+005, +1.45546043725E+001, +0.00000000000E+000
+4.71558301632E+005, +1.41279377030E+001, +0.00000000000E+000
+4.72903474657E+005, +1.46908987087E+001, +0.00000000000E+000
+4.74248647681E+005, +1.43127533262E+001, +0.00000000000E+000
+4.75593820706E+005, +1.45582312800E+001, +0.00000000000E+000
+4.76938993730E+005, +1.44782281600E+001, +0.00000000000E+000
+4.78284166755E+005, +1.42099106183E+001, +0.00000000000E+000
+4.79629339779E+005, +1.48378280292E+001, +0.00000000000E+000
+4.80974512804E+005, +1.52329295578E+001, +0.00000000000E+000
+4.82319685828E+005, +1.45988183029E+001, +0.00000000000E+000
+4.83664858853E+005, +1.40178113419E+001, +0.00000000000E+000
+4.85010031877E+005, +1.45858009978E+001, +0.00000000000E+000
+4.86355204902E+005, +1.44674081018E+001, +0.00000000000E+000
+4.87700377926E+005, +1.45006355112E+001, +0.00000000000E+000
+4.89045550951E+005, +1.48044973118E+001, +0.00000000000E+000
+4.90390723975E+005, +1.45673273747E+001, +0.00000000000E+000
+4.91735897000E+005, +1.49274626427E+001, +0.00000000000E+000
+4.93081070025E+005, +1.42571805623E+001, +0.00000000000E+000
+4.94426243049E+005, +1.47040148426E+001, +0.00000000000E+000
+4.95771416074E+005, +1.45219211405E+001, +0.00000000000E+000
+4.97116589098E+005, +1.52167542484E+001, +0.00000000000E+000
+4.98461762123E+005, +1.48609055250E+001, +0.00000000000E+000
+4.99806935147E+005, +1.45723888600E+001, +0.00000000000E+000
+5.01152108172E+005, +1.52135283936E+001, +0.00000000000E+000
+5.02497281196E+005, +1.48530423373E+001, +0.00000000000E+000
+5.03842454221E+005, +1.43187027644E+001, +0.00000000000E+000
+5.05187627245E+005, +1.44245627672E+001, +0.00000000000E+000
+5.06532800270E+005, +1.45179608932E+001, +0.00000000000E+000
+5.07877973294E+005, +1.48371802485E+001, +0.00000000000E+000
+5.09223146319E+005, +1.46628330268E+001, +0.00000000000E+000
+5.10568319343E+005, +1.41823604287E+001, +0.00000000000E+000
+5.11913492368E+005, +1.47839042018E+001, +0.00000000000E+000
+5.13258665392E+005, +1.46745522628E+001, +0.00000000000E+000
+5.14603838417E+005, +1.44185084735E+001, +0.00000000000E+000
+5.15949011441E+005, +1.43369005963E+001, +0.00000000000E+000
+5.17294184466E+005, +1.45998643550E+001, +0.00000000000E+000
+5.18639357490E+005, +1.46464272782E+001, +0.00000000000E+000
+5.19984530515E+005, +1.45212137121E+001, +0.00000000000E+000
+5.21329703539E+005, +1.44763831064E+001, +0.00000000000E+000
+5.22674876564E+005, +1.45469497747E+001, +0.00000000000E+000
+5.24020049588E+005, +1.43493303569E+001, +0.00000000000E+000
+5.25365222613E+005, +1.45835289517E+001, +0.00000000000E+000
+5.26710395637E+005, +1.47044474476E+001, +0.00000000000E+000
+5.28055568662E+005, +1.50608604918E+001, +0.00000000000E+000
+5.29400741686E+005, +1.41641181065E+001, +0.00000000000E+000
+5.30745914711E+005, +1.47594185117E+001, +0.00000000000E+000
+5.32091087736E+005, +1.46640611297E+001, +0.00000000000E+000
+5.33436260760E+005, +1.44432583081E+001, +0.00000000000E+000
+5.34781433785E+005, +1.46759780449E+001, +0.00000000000E+000
+5.36126606809E+005, +1.48240306812E+001, +0.00000000000E+000
+5.37471779834E+005, +1.47358217836E+001, +0.00000000000E+000
+5.38816952858E+005, +1.42573082535E+001, +0.00000000000E+000
+5.40162125883E+005, +1.43924296409E+001, +0.00000000000E+000
+5.41507298907E+005, +1.46463001475E+001, +0.00000000000E+000
+5.42852471932E+005, +1.44134814000E+001, +0.00000000000E+000
+5.44197644956E+005, +1.48492991886E+001, +0.00000000000E+000
+5.45542817981E+005, +1.47997434292E+001, +0.00000000000E+000
+5.46887991005E+005, +1.45437858585E+001, +0.00000000000E+000
+5.48233164030E+005, +1.43684824351E+001, +0.00000000000E+000
+5.49578337054E+005, +1.42035380368E+001, +0.00000000000E+000
+5.50923510079E+005, +1.42816574175E+001, +0.00000000000E+000
+5.52268683103E+005, +1.47521573628E+001, +0.00000000000E+000
+5.53613856128E+005, +1.54127185135E+001, +0.00000000000E+000
+5.54959029152E+005, +1.42912632405E+001, +0.00000000000E+000
+5.56304202177E+005, +1.48606370812E+001, +0.00000000000E+000
+5.57649375201E+005, +1.42340163585E+001, +0.00000000000E+000
+5.58994548226E+005, +1.43102648397E+001, +0.00000000000E+000
+5.60339721250E+005, +1.45801017206E+001, +0.00000000000E+000
+5.61684894275E+005, +1.45570478622E+001, +0.00000000000E+000
+5.63030067299E+005, +1.48380882570E+001, +0.00000000000E+000
+5.64375240324E+005, +1.51934722240E+001, +0.00000000000E+000
+5.65720413348E+005, +1.47976194355E+001, +0.00000000000E+000
+5.67065586373E+005, +1.38998653450E+001, +0.00000000000E+000
