"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +5.32288415031E+000, +0.00000000000E+000
+3.00973681049E+005, +5.26169421056E+000, +0.00000000000E+000
+3.01947362099E+005, +5.56297880652E+000, +0.00000000000E+000
+3.02921043148E+005, +5.68999488471E+000, +0.00000000000E+000
+3.03894724198E+005, +5.18556428363E+000, +0.00000000000E+000
+3.04868405247E+005, +5.13134290464E+000, +0.00000000000E+000
+3.05842086296E+005, +5.61718886947E+000, +0.00000000000E+000
+3.06815767346E+005, +5.38923351312E+000, +0.00000000000E+000
+3.07789448395E+005, +4.84583307446E+000, +0.00000000000E+000
+3.08763129445E+005, +4.80442518588E+000, +0.00000000000E+000
+3.09736810494E+005, +5.12062074458E+000, +0.00000000000E+000
+3.10710491544E+005, +5.15971915648E+000, +0.00000000000E+000
+3.11684172593E+005, +5.04401813606E+000, +0.00000000000E+000
+3.12657853642E+005, +5.26655937532E+000, +0.00000000000E+000
+3.13631534692E+005, +5.57064885454E+000, +0.00000000000E+000
+3.14605215741E+005, +4.90062736887E+000, +0.00000000000E+000
+3.15578896791E+005, +4.33022504767E+000, +0.00000000000E+000
+3.16552577840E+005, +5.94380658232E+000, +0.00000000000E+000
+3.17526258889E+005, +5.76982310681E+000, +0.00000000000E+000
+3.18499939939E+005, +4.84354260188E+000, +0.00000000000E+000
+3.19473620988E+005, +4.67038602997E+000, +0.00000000000E+000
+3.20447302038E+005, +5.02021511662E+000, +0.00000000000E+000
+3.21420983087E+005, +5.60785414916E+000, +0.00000000000E+000
+3.22394664136E+005, +5.20612931301E+000, +0.00000000000E+000
+3.23368345186E+005, +5.68522483474E+000, +0.00000000000E+000
+3.24342026235E+005, +5.08216041883E+000, +0.00000000000E+000
+3.25315707285E+005, +5.43901453461E+000, +0.00000000000E+000
+3.26289388334E+005, +5.30258600523E+000, +0.00000000000E+000
+3.27263069384E+005, +5.29171685449E+000, +0.00000000000E+000
+3.28236750433E+005, +4.74334551368E+000, +0.00000000000E+000
+3.29210431482E+005, +5.19631695743E+000, +0.00000000000E+000
+3.30184112532E+005, +4.94474220155E+000, +0.00000000000E+000
+3.31157793581E+005, +4.37564356596E+000, +0.00000000000E+000
+3.32131474631E+005, +5.00218478747E+000, +0.00000000000E+000
+3.33105155680E+005, +5.63228162162E+000, +0.00000000000E+000
+3.34078836729E+005, +4.66665240854E+000, +0.00000000000E+000
+3.35052517779E+005, +5.37230658691E+000, +0.00000000000E+000
+3.36026198828E+005, +5.67320357978E+000, +0.00000000000E+000
+3.36999879878E+005, +6.10475351527E+000, +0.00000000000E+000
+3.37973560927E+005, +4.72045311656E+000, +0.00000000000E+000
+3.38947241976E+005, +4.61527977971E+000, +0.00000000000E+000
+3.39920923026E+005, +5.26894282223E+000, +0.00000000000E+000
+3.40894604075E+005, +5.81588191257E+000, +0.00000000000E+000
+3.41868285125E+005, +5.50448511134E+000, +0.00000000000E+000
+3.42841966174E+005, +5.20157191562E+000, +0.00000000000E+000
+3.43815647223E+005, +6.05643996122E+000, +0.00000000000E+000
+3.44789328273E+005, +4.45893962815E+000, +0.00000000000E+000
+3.45763009322E+005, +5.06864097439E+000, +0.00000000000E+000
+3.46736690372E+005, +5.83007080315E+000, +0.00000000000E+000
+3.47710371421E+005, +5.50171929595E+000, +0.00000000000E+000
+3.48684052471E+005, +5.01895068753E+000, +0.00000000000E+000
+3.49657733520E+005, +5.61636990127E+000, +0.00000000000E+000
+3.50631414569E+005, +5.34902336389E+000, +0.00000000000E+000
+3.51605095619E+005, +5.04837900976E+000, +0.00000000000E+000
+3.52578776668E+005, +5.36879805490E+000, +0.00000000000E+000
+3.53552457718E+005, +4.88137632801E+000, +0.00000000000E+000
